epocas,prediction_order,auto_order,exog_order,exog_delay,activation,id_point,n_neurons,capas,training_mse,training_rmse,training_mae,trainig_mape,trainig_r,validation_mse,validation_rmse,validation_mae,validation_mape,validation_r,test_mse,test_rmse,test_mae,test_mape,test_r
154,12,300,6,3,sigmoid,1,"[136, 68]",2,0.6186854420589887,0.3827716762157262,0.4228508187647541,17.827257521707928,0.7610433467761684,0.8904604926328912,0.7929198889400112,0.6241597877413957,52.57054542097486,0.5164320360237977,0.8560546356901757,0.7328295392866395,0.6276608635045078,57.276507162286514,0.5530785730091973
86,12,300,6,3,sigmoid,2,"[204, 102]",2,0.6469963416320601,0.41860426608526946,0.4308182139734394,23.657861105157924,0.7162425928908023,0.8606062255788635,0.7406430755050976,0.5876498621725653,73.77106469671575,0.504246845221004,0.8720400583643028,0.7604538633920166,0.6001308904057572,82.73938541044919,0.49098639505491043
50,12,300,6,3,sigmoid,3,"[204, 102]",2,0.7686795130860101,0.5908681938381456,0.4986931875591592,28.66627336260286,0.6636319025441063,0.7563757749618044,0.5721043129490702,0.5867753684706568,75.22162628514515,0.6504070191984268,0.7544636066705355,0.5692153337903125,0.5890603156044969,80.43807252260419,0.652172373545045
98,12,300,6,3,sigmoid,4,"[136, 68]",2,1.1386617189756933,1.296550510260681,0.8268971335191239,26.319789625683015,0.6191734843250626,1.135454063278986,1.2892559298167594,0.8713007349395472,60.14244810547352,0.5547677472678634,1.1413094102761214,1.3025871699848282,0.8794860712311445,64.6394998186623,0.5501639304813964
90,12,300,6,3,sigmoid,5,"[102, 68, 34]",3,1.0111810492027358,1.0224871142667455,0.6940144275969528,23.81341616655889,0.6742470369476732,1.012692726959882,1.0255465592374422,0.7599251879708527,89.09713476023407,0.5939359850257753,1.0287200872679347,1.0582650179485473,0.7676625238231424,99.45293956187605,0.580981147833519
41,12,300,6,3,sigmoid,6,[204],1,0.9797706279931954,0.9599504834781803,0.6499215396249229,32.640088944408866,0.7105276872725181,0.9624308141038589,0.9262730719366167,0.6928619937998155,80.69097167367639,0.6601113032531163,0.9590967476410068,0.919866571335557,0.6894753733714444,84.33160628181633,0.6624621188019799
73,12,300,6,3,sigmoid,7,"[136, 68]",2,1.4310643037002142,2.047945041324979,1.040690083788005,24.126361741839315,0.711178218415629,1.4268434848117093,2.0358823301496227,1.0667718702286397,45.455853513101616,0.6664815577381626,1.4277691126654322,2.0385246390814356,1.0673632605578403,46.641814045604754,0.6660486944307593
190,12,300,6,3,sigmoid,8,"[153, 102, 51]",3,1.0760011689802953,1.157778515646962,0.7629009873553372,18.769797226527135,0.7977373716350622,1.298327405837571,1.6856540527489166,0.9666339583724297,95.47319819377132,0.6120375895920135,1.3440016328854754,1.806340389198824,0.9809648919075978,104.9096401576408,0.5842609755732238
42,12,300,6,3,sigmoid,9,"[204, 102]",2,1.887339517075897,3.5620504527162806,1.3584338506986418,39.32867814681703,0.37158948520765156,1.1684523926489434,1.3652809938870407,0.9107095024221991,59.3899683477875,0.6791912841129262,1.1687074774245139,1.3658771677879706,0.9098623326530187,60.25515394969996,0.6790511973582881
