,id_point,latitud,longitud,precipitacion_mm
0,1,10.31,-69.83,629
1,2,10.31,-69.73,629
2,3,10.31,-69.63,629
3,4,10.31,-69.53,629
4,5,10.31,-69.43,629
5,6,10.21,-69.83,629
6,7,10.21,-69.73,629
7,8,10.21,-69.63,629
8,9,10.21,-69.53,629
9,10,10.21,-69.43,629
10,11,10.11,-69.83,629
11,12,10.11,-69.73,629
12,13,10.11,-69.63,629
13,14,10.11,-69.53,629
14,15,10.11,-69.43,629
